wavelength spec_bulge1 spec_bulge1_unc spec_bulge2 spec_bulge2_unc spec_bulge3 spec_bulge3_unc spec_bulge4 spec_bulge4_unc spec_disk spec_disk_unc spec_clump1 spec_clump1_unc spec_clump2 spec_clump2_unc spec_clump3 spec_clump3_unc
3613.5304 8.052046318514064e-06 7.772534807408192e-07 4.4399563871000435e-05 3.716342343786099e-06 2.710052493439477e-05 2.2467979122400875e-06 2.952947511173351e-05 3.1222783072098002e-06 3.629981836619822e-05 3.4676524612296413e-06 0.00014633462182438191 1.6127290865753097e-05 0.0001543699132937152 1.4500660032083672e-05 0.0003994057720979846 3.581075815494367e-05
3614.4305 8.494864735750789e-06 7.919957042071508e-07 3.83869584730313e-05 3.7472642844770067e-06 2.201292346801048e-05 2.269629994318436e-06 3.133816120400657e-05 3.152356829102509e-06 3.873984629302782e-05 3.491220908986514e-06 0.00016511263897713133 1.616326191958894e-05 0.00013551239625770746 1.4515163582588273e-05 0.00033661768470427146 3.58420358009527e-05
3615.3309 7.457256900374826e-06 8.009457768694708e-07 4.03255619121913e-05 3.773566860536743e-06 2.2657476299859034e-05 2.2872563186792207e-06 3.461823780524218e-05 3.1742264848144298e-06 3.29502382078555e-05 3.513408508989242e-06 0.00013155477955677374 1.6621975533503552e-05 0.00013481844343920168 1.4706387404357638e-05 0.0003691036632707928 3.6147705112786076e-05
3616.231 7.751873942636083e-06 8.011086296990777e-07 4.167360704841133e-05 3.785602011621576e-06 2.6881837163490805e-05 2.2933553206362836e-06 3.231965849021425e-05 3.18045769419577e-06 3.412418330214827e-05 3.524443754192019e-06 0.00016189789032135243 1.68620820532223e-05 0.00014548044740973634 1.4822437062344524e-05 0.0003424767930487691 3.6322445909762804e-05
3617.1314 7.5071978815415955e-06 7.91790908459167e-07 3.9654461389690726e-05 3.7782216125986246e-06 2.2215860413643098e-05 2.2850062605048257e-06 3.647924753196417e-05 3.167878275029407e-06 3.4545272374842145e-05 3.5158728042769337e-06 0.00015673195271449764 1.6872066581639094e-05 0.0001590231272226241 1.4825056285172183e-05 0.00034396350623756806 3.6333973299530136e-05
3618.0315 7.626329728418425e-06 7.758857043575407e-07 3.909539766969146e-05 3.7548999521052914e-06 2.3804678202882306e-05 2.2653928282074627e-06 3.1743881348821253e-05 3.140875488852697e-06 3.6065452117357354e-05 3.4895494033900163e-06 0.00016543940582177213 1.6687619885936088e-05 0.00014841963486582167 1.4731270031237523e-05 0.0004089144057785266 3.623859616678667e-05
3618.9317 7.863326648501094e-06 7.596788416933222e-07 3.456964622093322e-05 3.728074048884867e-06 2.1691143453490365e-05 2.243876445265368e-06 3.1256599066549514e-05 3.1115210487964747e-06 2.9924570106611595e-05 3.460103163871704e-06 0.00015618883200556007 1.6484376338363325e-05 0.00015882475039572351 1.4613683579542687e-05 0.0003330641435697235 3.610598630618689e-05
3619.832 6.989708732730044e-06 7.506867101919336e-07 3.621905185740825e-05 3.7143477311589167e-06 2.127600388729624e-05 2.2325172206519795e-06 3.476284878811148e-05 3.095230927171778e-06 3.065444676989926e-05 3.4465742746244448e-06 0.00014766657123775948 1.6428026893184412e-05 0.00012845493353952489 1.4575355246397508e-05 0.000422832542418074 3.6068783621552556e-05
3620.7322 7.386585387007509e-06 7.544896949824507e-07 3.578219876678167e-05 3.726977259326469e-06 2.2020002849277684e-05 2.2407334771312827e-06 3.568175888358796e-05 3.104014515782109e-06 4.0085517571277645e-05 3.459791384967067e-06 0.00015188242849512932 1.653840807677806e-05 0.00017119492665742235 1.4638709515784966e-05 0.00033899443873131355 3.615249286524405e-05
3621.6326 8.43871662595706e-06 7.725370839514831e-07 3.841735415222116e-05 3.7703500885095807e-06 2.150396548409334e-05 2.2714435862075535e-06 3.448124474156963e-05 3.141589327851715e-06 3.645444516037061e-05 3.496360176367751e-06 0.00014742145234945716 1.6722168273228796e-05 0.00014185769164840525 1.4741903039459462e-05 0.00030761998003276276 3.627441257093301e-05
3622.5327 7.213444298256888e-06 8.021988660235239e-07 3.394346491823431e-05 3.839566719548606e-06 2.1847779181852756e-05 2.3208827927631796e-06 3.043570485299389e-05 3.2032097111864797e-06 3.562966689164291e-05 3.5434696372104355e-06 0.00016315575539960583 1.6874593280598973e-05 0.0001414469281913528 1.4826908701927129e-05 0.00036483717061554824 3.6365684155918883e-05
3623.4328 7.717087431064947e-06 8.387140734034199e-07 4.0075872012533035e-05 3.92453201771773e-06 2.2272574671924257e-05 2.381623045537677e-06 3.1625892405719e-05 3.2795676646236385e-06 4.145942307459227e-05 3.5892092381712274e-06 0.00015482310148010088 1.6958189499990897e-05 0.00014869111807500626 1.4867985211644202e-05 0.00038747310492569817 3.639900208275048e-05
3624.3332 1.0146624070004985e-05 8.772584856048144e-07 3.683062607795068e-05 4.014558743636212e-06 2.522567470397465e-05 2.4459086145975376e-06 3.336792661863183e-05 3.361024855277899e-06 3.152116613122095e-05 3.6292523168517763e-06 0.00019050023803523407 1.6966183975834363e-05 0.00014340106281673692 1.4869821947123194e-05 0.0003275086523678199 3.640502733514126e-05
3625.2333 8.793765751589381e-06 9.136745715312939e-07 3.6873212862259615e-05 4.1000502936613175e-06 2.6392404212639598e-05 2.506862432573255e-06 3.766373144609812e-05 3.4390439629322775e-06 4.0707488366404854e-05 3.6653984004145928e-06 0.00016390095104200331 1.6983679098815335e-05 0.00015975943261309084 1.4888564188691358e-05 0.00036204651646523623 3.6451755830110665e-05
3626.1337 9.79424066615644e-06 9.439980132939061e-07 3.747689592525686e-05 4.17144934697958e-06 2.0255887064757768e-05 2.557723680113697e-06 3.847236383946647e-05 3.5050840749813293e-06 4.306786922352592e-05 3.6988074328954747e-06 0.00019396488121268374 1.7082444786623684e-05 0.00014439034148999426 1.4955525203073867e-05 0.0003848049053801562 3.6553942509000154e-05
3627.0339 8.278453925730448e-06 9.636984785809528e-07 3.849499605280073e-05 4.2175404945815e-06 2.479531636602046e-05 2.590619486558305e-06 4.5419691600851695e-05 3.548959970888599e-06 3.577269440658261e-05 3.7244961489168955e-06 0.00017982432853669617 1.7195474957753903e-05 0.0001867511595708042 1.5028293876208933e-05 0.00039878748438164065 3.665654015307531e-05
3627.934 1.0080416454755111e-05 9.682271461123237e-07 4.321422974945014e-05 4.226937408263863e-06 2.9286971799371426e-05 2.5975822771654004e-06 3.992626869583371e-05 3.560140367201525e-06 4.105431048720505e-05 3.732190349764735e-06 0.00018104255433004827 1.725364191947091e-05 0.00016087278491268398 1.5061917155166152e-05 0.00035731134896180663 3.6696666490628775e-05
3628.8344 1.045668046203359e-05 9.547865303709632e-07 3.6552950961351296e-05 4.1926719845722086e-06 2.2078710556661935e-05 2.573729257449146e-06 3.3628916674871986e-05 3.5318288746088965e-06 4.33036694776553e-05 3.7124137254817427e-06 0.0001548899680757873 1.714374582624468e-05 0.00017154840472766207 1.5018095670039457e-05 0.00034020371633888146 3.661988654508463e-05
3629.7345 9.189089315191656e-06 9.244703799154361e-07 4.230513877453919e-05 4.117746441133977e-06 2.6966439901426984e-05 2.521108410502432e-06 3.474090935262773e-05 3.4659202796818807e-06 4.038266174234932e-05 3.6637717811025884e-06 0.0001719643533544711 1.6720424956470853e-05 0.00013517696430720926 1.4843409981055856e-05 0.00030898883150205954 3.634902855085405e-05
3630.6349 8.102793117087108e-06 8.831221052621507e-07 3.385303495719445e-05 4.017335907773379e-06 2.556540111592544e-05 2.4502290064954764e-06 3.3186623050270756e-05 3.3751036613353612e-06 3.479107567979448e-05 3.59689194663688e-06 0.00013863828228892044 1.6432829473042276e-05 0.00015654603605519114 1.467758893170021e-05 0.0003576134947397489 3.6128131014658504e-05
3631.535 7.110351192617458e-06 8.401138334760647e-07 3.597613491724405e-05 3.915536493145156e-06 2.4831566490858288e-05 2.377825163288099e-06 2.98136936898476e-05 3.280227813992383e-06 4.173892988467745e-05 3.531798241846057e-06 0.0001727087842607864 1.64010169508367e-05 0.00015129450503003592 1.457715542487406e-05 0.0003838133986277396 3.6021804550767296e-05
3632.4351 7.2183596217710305e-06 8.051645162690072e-07 3.746688337402721e-05 3.83705855676217e-06 2.1994309848060397e-05 2.3211115364926966e-06 2.7865967067874387e-05 3.2031602667611783e-06 3.313969003233139e-05 3.4880885212571197e-06 0.00016257113880420058 1.6369737240517263e-05 0.00013779112276136751 1.4563261212982464e-05 0.0003519169400132395 3.603085070727983e-05
