wavelength spec_bulge spec_disk spec_clump1 spec_clump2 spec_clump3
405.0 3.279494449076364e-09 4.291005996250949e-21 5.270983726749767e-18 4.189835544041216e-13 2.7218839167314286e-12
414.0 3.1054405809797786e-09 3.213884960569142e-20 1.0546291043549885e-17 6.491326285311374e-13 3.994257120169485e-12
422.0 3.0430047552586008e-09 1.6265155229351937e-19 1.903483871968701e-18 9.678503028323804e-13 5.597193609699647e-12
430.0 3.007808344917684e-09 7.409944410246255e-19 2.9175514665484896e-18 1.3989436222249556e-12 7.641751964154114e-12
441.0 2.9348918100712273e-09 4.58554876021636e-18 5.764606515196379e-18 2.2384480622037665e-12 1.0890527766383175e-11
451.0 3.132904948627477e-09 2.1897536302415643e-17 8.081157224661635e-18 3.4394649022568468e-12 1.5464168611122015e-11
460.0 3.0004561863896333e-09 7.792248914936224e-17 1.3392499577160084e-17 6.44385583189739e-12 2.1600545031152617e-11
470.0 3.018432815373111e-09 2.664393855034048e-16 2.217872452283685e-17 7.2751194908561774e-12 2.6589919995076305e-11
480.0 2.9065342996192033e-09 8.193409919021152e-16 3.4418043929962266e-17 1.0706307130784902e-11 3.444120395803551e-11
490.0 2.9890785821396466e-09 2.20647213489614e-15 5.0288563124421943e-17 1.4339701531597297e-11 4.317234646331252e-11
500.0 3.0022273554810392e-09 5.918874040615937e-15 6.897725456120401e-17 2.0969550206918256e-11 5.544270630547186e-11
506.0 2.860181134236709e-09 9.398624567965329e-15 3.121170901254848e-14 2.294743690098679e-11 6.083001440960276e-11
512.0 2.6423795768331166e-09 1.9171460716831424e-14 1.5601669214276382e-14 2.4611514745640357e-10 2.867989812791389e-10
520.0 2.969615169263435e-09 3.950829983538298e-14 2.7702047560243103e-14 3.6065652472823963e-10 4.0793954851844497e-10
530.0 2.9497511559339845e-09 7.780008153126094e-14 5.40290094122503e-14 3.888348492056098e-10 4.4232440454300624e-10
540.0 2.7530960158762697e-09 1.3806765333151497e-13 1.2591531001062365e-15 1.934495553393553e-10 2.517528082312529e-10
550.0 2.5487287766439894e-09 2.5776407998204303e-13 2.012998933776246e-15 7.216486194984391e-10 7.851893893176581e-10
560.0 2.8538557783278624e-09 5.375100866232107e-13 3.1561544352152752e-15 7.570185270275683e-10 8.304651735968687e-10
570.0 2.73328694176674e-09 9.536304927459366e-13 4.825141913237016e-15 1.0749500897180198e-09 1.1547162531805615e-09
580.0 2.758493940834066e-09 1.3246106447013196e-12 4.606048057267863e-18 7.125291173549411e-10 7.98919493468436e-10
590.0 2.7562502059404947e-09 2.7736415502442565e-12 4.5627933453200614e-18 1.552576358289392e-09 1.6454292299219876e-09
600.0 2.721943521442441e-09 4.703286779181036e-12 5.057877878269238e-18 1.5898440634283326e-09 1.6880253023770521e-09
610.0 2.557956001754244e-09 5.323917554516927e-12 3.111952659495899e-16 1.443590644811118e-09 1.5477987814210418e-09
620.0 2.6941976018790724e-09 9.87804506150911e-12 9.02179258370922e-16 2.4277091036637742e-09 2.5386273743452476e-09
630.0 2.629191295359053e-09 1.3753731188624696e-11 1.1148679386613122e-15 2.7518757054904164e-09 2.8674542609222307e-09
640.0 2.5992153922709557e-09 2.0125778510148678e-11 1.0278119968000757e-15 3.176849318038643e-09 3.297473811886872e-09
650.0 2.6660721063834884e-09 2.519849546837189e-11 8.158949606788282e-16 2.9754007810581154e-09 3.1016027100380933e-09
658.0 2.6319184139135196e-09 3.578134760766796e-11 6.356946208572375e-16 3.4171359350815454e-09 3.5469200174268716e-09
665.0 2.5687217915705646e-09 3.680030211589141e-11 4.980173190670983e-16 3.87800963858134e-09 4.0109718559645575e-09
675.0 2.6341731806841275e-09 5.793105203368287e-11 3.3471622808174876e-16 4.7725131926746675e-09 4.9104145028718755e-09
685.0 2.4407891857648044e-09 1.3768671668347337e-10 2.1634210209147396e-16 8.485981353529316e-09 8.625801985392335e-09
695.0 2.6283743848842184e-09 9.046008513975326e-11 1.3661330842465339e-16 4.538241183617838e-09 4.683671956094852e-09
705.0 2.5840789444191614e-09 1.4786629351974276e-10 8.539591551157892e-17 9.48693684262171e-09 9.63631235540914e-09
716.0 2.6072049768503863e-09 1.6465367148430319e-10 5.0663128673055984e-17 7.474878571408223e-09 7.628859924463197e-09
726.0 2.5846568650632864e-09 1.9581128248029156e-10 3.1963925440542727e-17 8.16756994229791e-09 8.324875683728089e-09
735.0 2.6148221365670084e-09 2.4760034458050196e-10 2.1738283789402965e-17 8.927807679817196e-09 9.0881151612694e-09
745.0 2.505562069921225e-09 2.1313875018279093e-10 1.4423663666810176e-17 9.234928510900134e-09 9.39844813659981e-09
755.0 2.6506571717023096e-09 4.144683400361189e-10 9.913695710818846e-18 1.0716225443242434e-08 1.0881891956188635e-08
765.0 2.3223221655875575e-09 9.281957098874626e-10 7.001059965466273e-18 1.2471635461446052e-08 1.2625849227917809e-08
775.0 2.6934349250675957e-09 5.333178606991136e-10 5.157216228628924e-18 1.2691694753033159e-08 1.286479389405211e-08
785.0 2.4458644388536724e-09 3.4521486464160937e-10 4.165140273424154e-18 5.752974044070652e-09 5.925776077771748e-09
795.0 2.7163199336150405e-09 7.256696986822627e-10 1.2121310410165716e-17 1.4763320881149643e-08 1.4944525384296846e-08
805.0 2.785044659521301e-09 8.593445586048754e-10 2.1378714761350672e-16 1.6013976108572395e-08 1.6199198725118703e-08
815.0 2.7231041752663947e-09 7.954503511117134e-10 3.7977767463246084e-15 1.4412516355429427e-08 1.4602199725614915e-08
825.0 2.8049926762635518e-09 1.1470184957867479e-09 5.3265034809877606e-14 1.8484352416726428e-08 1.867800435424154e-08
835.0 4.01254189095581e-09 2.1906012477463103e-09 5.850329781849336e-13 1.7366286545083152e-08 1.7561768862741733e-08
845.0 3.04650935955112e-09 1.6482794679657647e-09 5.0363454612196006e-12 2.1532534790201717e-08 2.1737815125670622e-08
855.0 2.9389659767548064e-09 1.584859429946283e-09 3.403427830048554e-11 2.043908838168387e-08 2.0649361520414357e-08
865.0 3.120876118006447e-09 2.073546999240564e-09 1.809085879315206e-10 2.4736583095846712e-08 2.4954494783497577e-08
875.0 3.0895159117268984e-09 2.191332197252867e-09 7.584042082739817e-10 2.6359859816850523e-08 2.6585759842021788e-08
885.0 3.400359024769455e-09 2.6843008400273565e-09 2.5165097807941536e-09 2.984216096401047e-08 3.007731168520643e-08
895.0 3.7369474241191395e-09 3.3233156438534437e-09 6.641758281177608e-09 3.527463873930075e-08 3.551968882876434e-08
905.0 4.442192668364578e-09 4.401077577261482e-09 1.4038208616279388e-08 4.3720497097093216e-08 4.397539763232873e-08
915.0 8.503463916101354e-07 1.0482925832198132e-06 4.89191045178428e-06 6.0238400992445415e-06 6.024249447026664e-06
925.0 7.07439811517115e-07 1.0621042096517674e-06 5.019444311154594e-06 5.926587901738377e-06 5.92758338768603e-06
935.0 1.03702526112559e-06 1.3472945265076061e-06 5.53280884784155e-06 6.781391557067759e-06 6.783497936608803e-06
945.0 1.2494882539306517e-06 1.471158522991962e-06 5.7557202501161614e-06 7.202040901877355e-06 7.213648256298022e-06
955.0 7.322012813034316e-07 1.0923707348265424e-06 4.995482623835989e-06 6.363801249671617e-06 6.421394233717979e-06
965.0 1.1465906102074064e-06 1.528270509747939e-06 5.390835448780002e-06 7.636709671155386e-06 7.725174541611556e-06
975.0 5.67938376345978e-07 9.227591408057694e-07 4.648113413770664e-06 5.202088194120431e-06 5.220670674203457e-06
985.0 6.065635570050561e-07 1.4520167546054732e-06 5.260321142030597e-06 7.687229632756772e-06 7.937188790071679e-06
995.0 7.555315750921353e-07 1.2371420063477277e-06 4.441596183931917e-06 6.378651737132583e-06 6.726468896710908e-06
1005.0 1.185402773901096e-06 1.8576555440982773e-06 5.438014007204074e-06 8.368317252380896e-06 8.770777501301503e-06
1015.0 9.940752078289106e-07 1.6912322018161773e-06 5.231900785895779e-06 7.863949331138869e-06 8.071087093010024e-06
1025.0 7.201443721807637e-07 1.1927907190060416e-06 3.919878227008373e-06 5.30399187962774e-06 5.314229896328533e-06
1035.0 7.651050081037802e-07 1.4589506804325865e-06 4.6343754195569715e-06 6.823987374058283e-06 6.964764215618041e-06
1045.0 1.2889386613409117e-06 2.194597481109181e-06 5.669252386710272e-06 8.963549194599649e-06 9.462342220503417e-06
1055.0 1.2539984252299117e-06 2.1936706250870525e-06 5.571314490224648e-06 8.840635963107127e-06 9.499181725317283e-06
1065.0 1.2734943008444288e-06 2.210937459868486e-06 5.521052409570835e-06 8.671295769471544e-06 9.303331532672484e-06
1075.0 1.296379912760354e-06 2.3040182257265195e-06 5.549631310722856e-06 8.905784496145139e-06 9.649451907731507e-06
1085.0 9.59438256419463e-07 1.9656398371962307e-06 4.935028560093354e-06 7.883492689146966e-06 8.579240877468525e-06
1095.0 1.302258821560365e-06 2.43434795063241e-06 5.60793788741473e-06 9.076565367787792e-06 9.855829984859613e-06
1105.0 1.2300008313673533e-06 2.4423965402649365e-06 5.572227095964215e-06 8.983340794417743e-06 9.819394902808245e-06
1115.0 9.289381566720332e-07 2.2385710352829697e-06 5.388550144206869e-06 8.799424101492548e-06 9.644614249552543e-06
1125.0 8.461506441340467e-07 1.8915503776620902e-06 4.6690481127745275e-06 7.081975317407377e-06 7.945559018782026e-06
1135.0 1.1810893474885764e-06 2.5225057993049365e-06 5.533379699579366e-06 9.002592743965482e-06 9.933744121738221e-06
1145.0 1.0028872683796691e-06 2.188508513088775e-06 5.121775282064416e-06 7.879451210672656e-06 8.755907466092586e-06
1155.0 1.191919236705455e-06 2.5933735856094337e-06 5.7618492770894776e-06 9.114429960894e-06 1.001011432264129e-05
