wavelength spec_bulge1 spec_bulge2 spec_bulge3 spec_bulge4 spec_disk spec_clump1 spec_clump2 spec_clump3
3614.4305 7.919957042071508e-06 3.747264284477007e-05 2.2696299943184362e-05 3.152356829102509e-05 3.491220908986514e-05 0.0001616326191958894 0.00014515163582588274 0.000358420358009527
3615.3309 8.009457768694708e-06 3.773566860536743e-05 2.287256318679221e-05 3.17422648481443e-05 3.513408508989242e-05 0.00016621975533503551 0.00014706387404357638 0.00036147705112786076
3616.231 8.011086296990777e-06 3.785602011621576e-05 2.2933553206362835e-05 3.18045769419577e-05 3.524443754192019e-05 0.00016862082053222297 0.00014822437062344523 0.00036322445909762807
3617.1314 7.91790908459167e-06 3.778221612598625e-05 2.2850062605048258e-05 3.167878275029407e-05 3.515872804276934e-05 0.00016872066581639095 0.00014825056285172183 0.00036333973299530135
3618.0315 7.758857043575407e-06 3.7548999521052914e-05 2.2653928282074626e-05 3.140875488852697e-05 3.4895494033900165e-05 0.00016687619885936088 0.00014731270031237523 0.00036238596166786666
3618.9317 7.596788416933222e-06 3.7280740488848673e-05 2.243876445265368e-05 3.111521048796475e-05 3.460103163871704e-05 0.00016484376338363326 0.00014613683579542687 0.0003610598630618689
3619.832 7.506867101919336e-06 3.7143477311589165e-05 2.2325172206519796e-05 3.095230927171778e-05 3.446574274624445e-05 0.00016428026893184413 0.00014575355246397508 0.0003606878362155256
3620.7322 7.544896949824507e-06 3.726977259326469e-05 2.2407334771312828e-05 3.104014515782109e-05 3.459791384967067e-05 0.0001653840807677806 0.00014638709515784966 0.0003615249286524405
3621.6326 7.72537083951483e-06 3.7703500885095805e-05 2.2714435862075534e-05 3.141589327851715e-05 3.496360176367751e-05 0.00016722168273228797 0.00014741903039459462 0.0003627441257093301
3622.5327 8.02198866023524e-06 3.839566719548606e-05 2.3208827927631796e-05 3.2032097111864795e-05 3.5434696372104356e-05 0.00016874593280598972 0.0001482690870192713 0.00036365684155918883
3623.4328 8.3871407340342e-06 3.92453201771773e-05 2.381623045537677e-05 3.2795676646236383e-05 3.5892092381712273e-05 0.00016958189499990896 0.00014867985211644203 0.0003639900208275048
3624.3332 8.772584856048143e-06 4.0145587436362116e-05 2.4459086145975374e-05 3.361024855277899e-05 3.629252316851776e-05 0.00016966183975834363 0.00014869821947123194 0.0003640502733514126
3625.2333 9.136745715312939e-06 4.1000502936613173e-05 2.5068624325732552e-05 3.4390439629322775e-05 3.665398400414593e-05 0.00016983679098815335 0.00014888564188691357 0.00036451755830110665
3626.1337 9.439980132939061e-06 4.1714493469795795e-05 2.557723680113697e-05 3.505084074981329e-05 3.698807432895475e-05 0.00017082444786623683 0.00014955525203073867 0.0003655394250900015
3627.0339 9.636984785809528e-06 4.217540494581501e-05 2.590619486558305e-05 3.548959970888599e-05 3.7244961489168954e-05 0.00017195474957753902 0.00015028293876208934 0.00036656540153075316
3627.934 9.682271461123237e-06 4.226937408263863e-05 2.5975822771654004e-05 3.560140367201525e-05 3.732190349764735e-05 0.0001725364191947091 0.00015061917155166152 0.0003669666649062877
3628.8344 9.547865303709631e-06 4.1926719845722084e-05 2.573729257449146e-05 3.5318288746088965e-05 3.712413725481743e-05 0.00017143745826244682 0.00015018095670039458 0.0003661988654508463
3629.7345 9.24470379915436e-06 4.117746441133977e-05 2.521108410502432e-05 3.465920279681881e-05 3.6637717811025885e-05 0.00016720424956470853 0.00014843409981055855 0.0003634902855085405
3630.6349 8.831221052621507e-06 4.017335907773379e-05 2.4502290064954762e-05 3.3751036613353614e-05 3.59689194663688e-05 0.00016432829473042276 0.0001467758893170021 0.00036128131014658504
3631.535 8.401138334760647e-06 3.915536493145156e-05 2.377825163288099e-05 3.280227813992383e-05 3.531798241846057e-05 0.000164010169508367 0.0001457715542487406 0.000360218045507673
3632.4351 8.051645162690073e-06 3.8370585567621695e-05 2.3211115364926967e-05 3.2031602667611784e-05 3.48808852125712e-05 0.00016369737240517265 0.00014563261212982464 0.0003603085070727983
3633.3355 7.851047717106184e-06 3.798762760648329e-05 2.2919337661561508e-05 3.1594008446845826e-05 3.474596137247342e-05 0.00016297618384532235 0.00014560638271680963 0.00035982539000481873
3634.2357 7.821491115937548e-06 3.805042740792913e-05 2.2935959261696382e-05 3.154000366087781e-05 3.4868433688735144e-05 0.00016653383200414495 0.000147095813593696 0.0003617420815878321
3635.136 7.943466180176691e-06 3.848862086847548e-05 2.3216043524086708e-05 3.182375839042783e-05 3.513862131395054e-05 0.00016798882675632865 0.00014773356537694704 0.00036266336713472263
3636.0362 8.17506662188511e-06 3.916735281992924e-05 2.367120972066679e-05 3.2345427427520816e-05 3.546771538647921e-05 0.00016788927564018427 0.00014782583543376067 0.0003629253538124223
3636.9363 8.470003053582339e-06 3.993889083269333e-05 2.420444694289752e-05 3.29925581864024e-05 3.581440024469928e-05 0.0001670894615673036 0.0001476637823995643 0.00036260112587243947
3637.8367 8.785310109840913e-06 4.067269089028974e-05 2.4729000499825702e-05 3.366012596158736e-05 3.615270648570284e-05 0.00016417923999874115 0.0001466457401417908 0.0003607985808702269
3638.7368 9.079732484332394e-06 4.12630430935563e-05 2.517138778870564e-05 3.425063017221872e-05 3.64331688725993e-05 0.00016448116662280273 0.00014652292865628783 0.0003603120808871067
3639.6372 9.312910416248405e-06 4.1633031029462785e-05 2.5472970722617864e-05 3.46751698063295e-05 3.658086754213841e-05 0.00016738460912659104 0.0001472191618077507 0.00036028695743071346
3640.5373 9.448905315750998e-06 4.1739610976651163e-05 2.5594258145964426e-05 3.4862300029619285e-05 3.652935543559153e-05 0.00016629158037560334 0.00014633805836111825 0.00035698353338635587
3641.4375 9.466169618736803e-06 4.158421728994296e-05 2.5525193454104624e-05 3.4778341567712555e-05 3.626193025632049e-05 0.00016386642436716934 0.000144579171638618 0.00035159713775995556
3642.3379 9.365572874238164e-06 4.121540443788506e-05 2.5290488655828244e-05 3.4441668277272724e-05 3.582313548096788e-05 0.00016041438179036606 0.0001418831445038031 0.00034450640782549924
3643.238 9.17192476916763e-06 4.0718621635410254e-05 2.494527320205803e-05 3.392185603312883e-05 3.529514554657646e-05 0.00015613075337531115 0.0001387151950648995 0.00033662699955790284
3644.1384 8.926036780315293e-06 4.019135854463446e-05 2.4558697662246846e-05 3.3318404563617736e-05 3.4760982694404636e-05 0.0001532988557292588 0.0001363155100152582 0.0003302453321707215
3645.0385 8.67280321842906e-06 3.9717776040790554e-05 2.419528962938477e-05 3.273248498657636e-05 3.4283281622838565e-05 0.00015104710215165852 0.00013425395779901095 0.0003246165615399991
3645.9386 8.450244059052523e-06 3.935121134365547e-05 2.390072770113167e-05 3.2241766135444675e-05 3.38960717161889e-05 0.00015007519426655814 0.00013281255693602646 0.00032009621429080344
3646.839 8.285780241264526e-06 3.911553621391291e-05 2.3700658227368404e-05 3.189297747369406e-05 3.3606834940312625e-05 0.00015229388574412994 0.00013303599950090364 0.00031910297839753897
3647.7391 8.198319235291693e-06 3.901962878224126e-05 2.3608974008547053e-05 3.1709476475821964e-05 3.340695732263868e-05 0.00015344883050126372 0.00013371423442388523 0.0003207947699214452
3648.6395 8.201344471292331e-06 3.9073245683974274e-05 2.3637295077413378e-05 3.170367971777514e-05 3.328914272267502e-05 0.00015282520448062076 0.00013329448887632647 0.00031987999529029134
3649.5397 8.303129479866905e-06 3.929285952246839e-05 2.3797994500945773e-05 3.1883938911069626e-05 3.3259215955728636e-05 0.00015204140047461495 0.0001323296937934894 0.0003167664034012637
3650.4398 8.50217256325687e-06 3.9691873489229816e-05 2.409702302601847e-05 3.224829674376127e-05 3.3328268069410653e-05 0.00015146551172619488 0.00013143198311658095 0.0003134849775787059
3651.3402 8.782505563285666e-06 4.026312472822701e-05 2.452281514552828e-05 3.277273349895926e-05 3.349459189890498e-05 0.00015084583498175288 0.00013060640239826056 0.00031042638784693505
3652.2403 9.113430412501402e-06 4.096598845564891e-05 2.503970943384476e-05 3.340478083355621e-05 3.373177601421846e-05 0.0001504014042595704 0.00012991396162676062 0.00030761587324837315
3653.1407 9.45780394167735e-06 4.173254380371689e-05 2.5595173872466007e-05 3.407448571860781e-05 3.3993368878384155e-05 0.0001503043773632149 0.00012938960106858392 0.0003050520442114082
3654.0408 9.782954639025564e-06 4.248637595988878e-05 2.6134665299227094e-05 3.4714440183516705e-05 3.423078655681557e-05 0.00015011089389309077 0.00012883261509181356 0.0003026048766099006
3654.941 1.0070566315548572e-05 4.316855466217176e-05 2.661956048863233e-05 3.5281667868351934e-05 3.441582679441046e-05 0.00014965105130683649 0.00012813496027009547 0.0003001505822344437
3655.8413 1.0317215943108987e-05 4.374917087626773e-05 2.703319340946319e-05 3.576257121433089e-05 3.454866575841723e-05 0.00014909968684705886 0.00012737582583311738 0.00029766072703332606
3656.7415 1.0527501592189753e-05 4.4222483971300215e-05 2.7374992781522206e-05 3.616193747474694e-05 3.464442609225129e-05 0.0001484971549095461 0.00012664044710349729 0.00029522531878753205
3657.6419 1.0704245437186462e-05 4.4590917174600006e-05 2.7647581305672304e-05 3.6484091699449505e-05 3.4710624223435757e-05 0.00014796306175994943 0.0001259835055636708 0.0002929703238466647
3658.542 1.0842114269705662e-05 4.485072728228594e-05 2.784642077577623e-05 3.6719401373812034e-05 3.4736697073054485e-05 0.00014759377837509757 0.00012540732393466041 0.00029082547184161345
